"","seqnames","start","end","width","strand","Conc","Conc_JQ1_FCPF.sg_h","Conc_no_Treat","Fold","p.value","FDR"
"1","chr21",41879399,41879799,401,"*",3.75120381687576,1.02769315971653,4.63763262717872,-0.0108599840173542,0.000506405171112814,0.990159328441165
"2","chr21",45164520,45164920,401,"*",3.48089444224198,4.38324224782106,0.547373645300168,0.0101318391149819,0.000544217733468381,0.990159328441165
"3","chr4",10173645,10174045,401,"*",3.67064836828575,1.34667240604952,4.5188726363231,-0.010396555150175,0.00142959729815286,0.990159328441165
"4","chr4",141304220,141304620,401,"*",3.19023465972771,4.06985385657242,0.547373645300168,0.00877974473244512,0.00204042809947402,0.990159328441165
"5","chr10",71636481,71636881,401,"*",3.20923805357979,0.611954100147331,4.08482210293309,-0.00801409400225259,0.00340832694202797,0.990159328441165
"6","chr1",204177023,204177423,401,"*",2.02611416903756,3.02611416903756,0,0.00503337915491456,0.00352602337233363,0.990159328441165
"7","chr14",101663090,101663490,401,"*",4.39366609566205,5.09236840953929,2.98613326373694,0.0127695943595659,0.00387487247442886,0.990159328441165
"8","chr1",146376919,146377319,401,"*",4.68917431650768,5.36455266456642,3.37797044019855,0.0130179893592016,0.00461849448383238,0.990159328441165
"9","chr7",26180282,26180682,401,"*",3.14868590112342,3.97910384905097,0.976014365898791,0.00858486828762185,0.00479395475925924,0.990159328441165
"10","chr14",102073729,102074129,401,"*",3.63837123487413,4.41910851373007,1.81209417981091,0.00977977408338279,0.00489163788364258,0.990159328441165
"11","chr17",82098873,82099273,401,"*",2.79799609091717,0,3.74437802133521,-0.0053393820776136,0.00535531980690207,0.990159328441165
"12","chr8",128046018,128046418,401,"*",2.85552024549156,0.0255874545414565,3.7503272530321,-0.00658192520872352,0.00600955870037828,0.990159328441165
"13","chr1",145991203,145991603,401,"*",3.3763002764301,4.1552316678611,1.56097686661995,0.00935798651500337,0.00618162368874388,0.990159328441165
"14","chr2",70086328,70086728,401,"*",3.97222204185818,2.48463588727203,4.68889806750087,-0.0109037686555501,0.00644199122391542,0.990159328441165
"15","chr17",45161163,45161563,401,"*",3.77576903543972,2.19504410383016,4.51188562011305,-0.0103480646843572,0.00652206993862932,0.990159328441165
"16","chr17",78258354,78258754,401,"*",3.70584583786433,1.83474745485174,4.49380879071635,-0.00898065713295745,0.00665599732732138,0.990159328441165
"17","chr6",26276782,26277182,401,"*",3.27119765351715,4.07113052134348,1.3221096303802,0.00852456559400487,0.00701360058243627,0.990159328441165
"18","chr6",27812680,27813080,401,"*",3.82778706606653,4.55006531225181,2.31409880467269,0.0104497904724075,0.00710022025981925,0.990159328441165
"19","chr8",93730953,93731353,401,"*",2.87745170472455,3.72635132743673,0.547373645300168,0.00736520486804543,0.00729313683806287,0.990159328441165
