"","seqnames","start","end","width","strand","Conc","Conc_JQ1_FCPF_plus_sg_l","Conc_JQ1_FCPF_minus_sg_l","Fold","p.value","FDR"
"1","chr2",12279600,12280000,401,"*",6.3801792241925,5.33525040673254,6.97981235615576,-0.00764496438195179,0.0013275593455854,0.926981708340742
"2","chr15",25438556,25438956,401,"*",5.85011818587533,4.78723350501486,6.455447532468,-0.00728666798805579,0.0016119259340889,0.926981708340742
"3","chr8",97776215,97776615,401,"*",6.68462670142138,5.78001886384249,7.23633673427263,-0.00784211454577537,0.00229356516827063,0.926981708340742
"4","chr10",101694821,101695221,401,"*",6.36134185240256,5.53693853857306,6.88267836980473,-0.00739732000875756,0.004347543839049,0.926981708340742
"5","chr16",29261778,29262178,401,"*",6.38900386820029,5.55693355121443,6.91334585044843,-0.00727415105248344,0.00451297127849009,0.926981708340742
"6","chr11",68213440,68213840,401,"*",6.54566824110235,5.69533181610064,7.07708176336083,-0.00709460420184589,0.00460287793098584,0.926981708340742
"7","chr3",72153060,72153460,401,"*",5.56082006611474,4.55121479475591,6.14897016508033,-0.00608078409681993,0.00477834162642167,0.926981708340742
"8","chr17",76529737,76530137,401,"*",6.33857953060244,5.5230796489392,6.85639785532126,-0.00732123344191507,0.00478263318788708,0.926981708340742
"9","chr1",58883009,58883409,401,"*",5.55298513963895,4.62674976392886,6.1124968093134,-0.00625712098448109,0.00592820248722928,0.926981708340742
"10","chr14",24094292,24094692,401,"*",6.52065223707548,5.70872974141861,7.03704839795821,-0.00669038371955277,0.00709550653244452,0.926981708340742
"11","chr1",116910065,116910465,401,"*",6.16898145839083,5.33793780253328,6.69292227729095,-0.00651676556779088,0.00721318778881398,0.926981708340742
"12","chr9",72364253,72364653,401,"*",5.66241833920757,4.74105179456246,6.22018753788074,-0.00596845916121153,0.00728260227921802,0.926981708340742
"13","chr2",231709689,231710089,401,"*",5.98873812224875,5.16634071932923,6.50928464447324,-0.00660012741302077,0.00730398054727993,0.926981708340742
"14","chr1",155934624,155935024,401,"*",6.57450396221866,5.79255528247047,7.07878802518689,-0.00669150866305959,0.00798747008712505,0.926981708340742
"15","chr3",81761405,81761805,401,"*",6.43459569323487,5.60494792143385,6.95799043915954,-0.0063330526146437,0.00819071196646405,0.926981708340742
"16","chr11",10658960,10659360,401,"*",5.93061980914767,5.14533227725133,6.4362706387416,-0.00654808475016957,0.00871785161551685,0.926981708340742
"17","chr10",61784249,61784649,401,"*",6.6725803118772,5.90430979508738,7.17121834633785,-0.00665575238248825,0.00872526029216337,0.926981708340742
"18","chr12",45729649,45730049,401,"*",6.28549083846231,5.54669528538727,6.77170122372965,-0.00684941405938808,0.00886445409995603,0.926981708340742
"19","chr11",46380973,46381373,401,"*",6.68290116381236,5.92468912338051,7.17733869196996,-0.00669648953491958,0.00890876654656652,0.926981708340742
"20","chr8",22056949,22057349,401,"*",6.68858547438681,5.89530954821773,7.19748835185256,-0.00636075785040919,0.00922728891247735,0.926981708340742
"21","chr9",105782736,105783136,401,"*",6.38116588692946,5.62674976392886,6.87400737668649,-0.00664440974378366,0.00932008798184612,0.926981708340742
"22","chr18",712099,712499,401,"*",6.1981969315228,5.40505199839182,6.70704668617758,-0.00621148496230962,0.0101314869441868,0.926981708340742
"23","chr2",241734615,241735015,401,"*",5.85941104917732,4.96277421787071,6.4082052876529,-0.00554789297153185,0.0102064204366863,0.926981708340742
"24","chr20",1185589,1185989,401,"*",5.52336013830203,4.67040079350355,6.05577894921592,-0.00575592525718657,0.0107064781170185,0.926981708340742
"25","chr22",23521537,23521937,401,"*",5.92886352003182,5.09937349663971,6.45219650818113,-0.00594462265064577,0.0107969184082206,0.926981708340742
"26","chr14",21026132,21026532,401,"*",6.36808157359634,5.57101426640436,6.87851907162701,-0.00603960144361431,0.0109677483552733,0.926981708340742
"27","chr15",101652030,101652430,401,"*",6.14924816206181,5.42201983608533,6.63048167140872,-0.00651941583880843,0.0113235403801897,0.926981708340742
"28","chr1",15953294,15953694,401,"*",6.19534865884699,5.47221183482285,6.6748080502698,-0.00652080291887622,0.0113867570001027,0.926981708340742
"29","chr19",14206747,14207147,401,"*",6.34413780264239,5.59835415806125,6.83332735715582,-0.0063374575339516,0.0115178489146486,0.926981708340742
"30","chr17",81936654,81937054,401,"*",6.152568609273,5.38726713710266,6.64997106003014,-0.00615551423532518,0.0116128039962559,0.926981708340742
"31","chr11",113690269,113690669,401,"*",6.5750776971418,5.80988138496594,7.07243631893312,-0.00613959160511992,0.0121007705062452,0.926981708340742
"32","chr12",9739865,9740265,401,"*",5.50315158604341,4.60612059507635,6.05209052599494,-0.00538802774814793,0.0121063999764385,0.926981708340742
"33","chr10",133278632,133279032,401,"*",6.64094698044367,5.92247583112326,7.11837445861215,-0.00642641699333219,0.0122483903768509,0.926981708340742
"34","chr13",42272248,42272648,401,"*",5.70970286528008,4.90344971074925,6.22383509539757,-0.00581780696398044,0.0125166024021718,0.926981708340742
"35","chr5",115602222,115602622,401,"*",6.03406210807672,5.28620217160605,6.52413287237957,-0.00615192440808106,0.0128050379419677,0.926981708340742
"36","chr1",30731807,30732207,401,"*",6.23736069878019,5.51372501875021,6.71703678574267,-0.00628157935246612,0.0129095418769512,0.926981708340742
"37","chr7",53811555,53811955,401,"*",6.00583777887171,5.25150391353336,6.49864461633351,-0.00604147064049045,0.0130330336392419,0.926981708340742
"38","chr19",10419229,10419629,401,"*",6.31307768665314,5.57167354336392,6.80040257685361,-0.00616709187050952,0.0130860603394578,0.926981708340742
"39","chr20",2870966,2871366,401,"*",5.73148837565268,4.95080608569961,6.23525287158403,-0.00584803301319033,0.0131550016984106,0.926981708340742
"40","chr22",46296226,46296626,401,"*",6.05272691324724,5.34125549375155,6.5270882277636,-0.0063085538068915,0.0134615395657445,0.926981708340742
"41","chr20",31605806,31606206,401,"*",6.46021813142382,5.75546428521942,6.93161667180827,-0.00634998311928718,0.013517980647215,0.926981708340742
"42","chr17",751651,752051,401,"*",5.61259022947498,4.71494548462706,6.16175437941864,-0.00516001524649983,0.0141660673599609,0.926981708340742
"43","chr1",12541480,12541880,401,"*",7.04613444719999,6.27863695086296,7.54445113171371,-0.00582737412344285,0.0142263402884691,0.926981708340742
"44","chr9",75028055,75028455,401,"*",5.93880995659335,5.17150653440369,6.43704592485093,-0.00581795185870563,0.0142993861884794,0.926981708340742
"45","chr12",643190,643590,401,"*",6.32714887435088,5.64234418197696,6.78963049459442,-0.00638178431841228,0.0145096480640212,0.926981708340742
"46","chr15",83066897,83067297,401,"*",6.39213860055994,5.65510831334587,6.87759315243409,-0.00592864875062683,0.014961815914717,0.926981708340742
"47","chr1",230144764,230145164,401,"*",6.27526424282247,5.54148866803196,6.7593217566003,-0.00584475398222553,0.0156866324922608,0.926981708340742
"48","chr22",26630476,26630876,401,"*",6.4322154906958,5.74201432010414,6.89712688039846,-0.00614887311554932,0.0158542701974239,0.926981708340742
"49","chr2",20424645,20425045,401,"*",6.11147466507194,5.42322048105838,6.57551094159762,-0.00610731139083843,0.0163958285474118,0.926981708340742
"50","chr20",671904,672304,401,"*",6.3783862948438,5.64016838082631,6.8643494979251,-0.00573882874691746,0.0165180827310772,0.926981708340742
"51","chr22",38785667,38786067,401,"*",6.48011629764544,5.7598509983919,6.95832624920325,-0.00584350222421677,0.0165473773959235,0.926981708340742
"52","chr2",197499520,197499920,401,"*",6.16989887075256,5.39550891155325,6.67107222050055,-0.00547068911520465,0.0166913056338407,0.926981708340742
"53","chr17",81937331,81937731,401,"*",6.46644503470382,5.80027030820018,6.92043624069413,-0.00622745085601911,0.0170216769446765,0.926981708340742
