"","seqnames","start","end","width","strand","Conc","Conc_JQ1_FCPF_minus_sg_l","Conc_no_Treat","Fold","p.value","FDR"
"1","chrX",12977167,12977567,401,"*",5.48661094593049,6.02343930966441,4.62206806569754,0.00536685337962492,0.0307917850446292,0.999992087440754
"2","chr14",101225739,101226139,401,"*",5.5591230557882,6.0623847795771,4.77966472888282,0.00564232298868913,0.0341338795937626,0.999992087440754
"3","chr14",65438409,65438809,401,"*",5.72087818838489,6.27360377671019,4.81347991642986,0.00492880711678956,0.0346730399037294,0.999992087440754
"4","chr6",159777816,159778216,401,"*",5.84566163224794,6.35064950006113,5.06199499910201,0.00557123149329684,0.0348918038528701,0.999992087440754
"5","chr1",162380642,162381042,401,"*",6.19049278111762,6.68659761044409,5.42830013526679,0.00563160057498339,0.0360606815071613,0.999992087440754
"6","chr6",110389752,110390152,401,"*",5.59254583276723,6.08051104958153,4.84963990278268,0.00538676342034809,0.0426719452707789,0.999992087440754
"7","chr1",150963884,150964284,401,"*",5.2650543856343,5.78902726018149,4.43392872999708,0.00482221312114073,0.0440719476470368,0.999992087440754
"8","chr17",6575373,6575773,401,"*",5.44321468476547,5.9407516376471,4.67759043028311,0.00500754392981908,0.0476098549483415,0.999992087440754
"9","chr12",103809152,103809552,401,"*",6.35935655986107,6.86820272284742,5.56622048265282,0.00480746209035723,0.0489650473828784,0.999992087440754
"10","chr17",17417814,17418214,401,"*",5.50237846259059,5.97187266573762,4.80191867459476,0.00515281518043678,0.0532247833676704,0.999992087440754
"11","chrX",139213296,139213696,401,"*",5.34092889030442,5.88036423353925,4.46947686424065,0.00421717099892584,0.0547454017943903,0.999992087440754
"12","chr2",127843705,127844105,401,"*",5.3706552167804,5.84109312141551,4.66806979798726,0.00498326613811905,0.0569863158686204,0.999992087440754
"13","chrX",16870016,16870416,401,"*",5.62612098571932,6.12003324650767,4.86915977496266,0.00463035423867255,0.0580243136024094,0.999992087440754
"14","chr18",50396000,50396400,401,"*",5.46601674600851,5.96440465657856,4.69834796305215,0.00457737561095607,0.0580599056824163,0.999992087440754
"15","chr12",53481361,53481761,401,"*",5.91674437643584,6.37976106915303,5.23075380821937,0.00503647774302484,0.058136198924868,0.999992087440754
"16","chrX",108558270,108558670,401,"*",5.38100171431829,5.88124579553184,4.60885897673401,0.00455122081650487,0.0582138915431856,0.999992087440754
"17","chr2",204407874,204408274,401,"*",6.18929920362176,6.6948777681509,5.40418847979246,0.00441785755473429,0.060106220400072,0.999992087440754
"18","chr16",89732678,89733078,401,"*",5.6741607071636,6.14204590842889,4.977314698244,0.00484837499304267,0.0612762230304699,0.999992087440754
"19","chr7",53811555,53811955,401,"*",5.96446458374895,6.43056925013867,5.27160241384624,0.00484614881070256,0.061961350028106,0.999992087440754
"20","chr9",19748640,19749040,401,"*",5.73621525311186,6.22554293489101,4.99010643654407,0.00444113692580158,0.0650372628164387,0.999992087440754
"21","chr11",35943919,35944319,401,"*",5.59328429438396,4.94201960341898,6.0403641789395,-0.0049998355933763,0.0651701586128803,0.999992087440754
"22","chr9",102223484,102223884,401,"*",5.58822928411724,6.03929656062816,4.92838999337532,0.00492424641006636,0.0654886291650329,0.999992087440754
"23","chr2",96834974,96835374,401,"*",5.04782100637388,5.53469726848861,4.30746772354301,0.00442269336473761,0.0669984294731484,0.999992087440754
"24","chr14",20116754,20117154,401,"*",4.97962347474457,5.48023076020663,4.20660300038818,0.00424539673309404,0.0672061807564533,0.999992087440754
"25","chr17",50675170,50675570,401,"*",5.5592638938613,6.00759414906696,4.90531839875553,0.00489558835290145,0.0673371667476608,0.999992087440754
"26","chr1",231046113,231046513,401,"*",6.21634905158302,6.64947895111709,5.59450651114001,0.0050110383527201,0.0702471169004632,0.999992087440754
"27","chr12",6538612,6539012,401,"*",6.24938610401403,6.7256020330608,5.53368663283157,0.00443115492766083,0.0703669524850894,0.999992087440754
"28","chr17",69880644,69881044,401,"*",5.79874517621436,6.26081235189147,5.11485804189454,0.00455667333437148,0.0718717377372302,0.999992087440754
"29","chr20",62814287,62814687,401,"*",5.07336746480369,5.55111323753678,4.35416687766358,0.00435036216379695,0.0725234533224021,0.999992087440754
"30","chr3",48240311,48240711,401,"*",6.24393922110807,6.70523633112674,5.56175472422499,0.00454265360490058,0.0727029626481665,0.999992087440754
"31","chr5",109832205,109832605,401,"*",5.71648658321841,6.14608576557252,5.1019522273378,0.00492968524726376,0.0740495603458339,0.999992087440754
"32","chr12",49765632,49766032,401,"*",5.27145515300407,5.72303104205226,4.61051674193426,0.00454604859412895,0.076664439948838,0.999992087440754
"33","chr2",233221343,233221743,401,"*",5.86597390045188,6.36393383339352,5.09933389826404,0.00398893712660029,0.0769864799770303,0.999992087440754
"34","chr12",42144824,42145224,401,"*",5.51195861321171,5.95962710587193,4.85943285195694,0.00458142664002872,0.0769994307186549,0.999992087440754
"35","chr19",36240528,36240928,401,"*",5.09228030907088,5.58851402094249,4.32977931233675,0.00399420120881059,0.0773805250301752,0.999992087440754
"36","chrX",12965515,12965915,401,"*",5.35754374770656,5.81782974334227,4.67759043028311,0.00440145541125863,0.0776560049013253,0.999992087440754
"37","chr22",37229837,37230237,401,"*",5.62482398960491,6.06954403166335,4.97859898799763,0.00453663894179001,0.0797264684446755,0.999992087440754
"38","chr11",66744263,66744663,401,"*",5.66924181277907,6.12207313993686,5.00558512580283,0.00439626249245936,0.0809534646716252,0.999992087440754
"39","chr10",100364947,100365347,401,"*",5.61782985938506,6.10765715846021,4.87054399729001,0.00392235868714322,0.0827590354134082,0.999992087440754
"40","chr18",54269678,54270078,401,"*",6.08730589669126,6.55247888730312,5.39652196592505,0.00414310912660263,0.0848941985480066,0.999992087440754
"41","chr5",177508992,177509392,401,"*",6.58509780255416,7.04254439291098,5.91138336946104,0.00420957038591568,0.0858696799630394,0.999992087440754
"42","chr8",130329801,130330201,401,"*",6.06890102618769,6.52837077737103,5.39074522592578,0.00417538069721732,0.0862330751319722,0.999992087440754
"43","chr2",138060235,138060635,401,"*",5.55550435392522,5.99116476342157,4.92838999337532,0.00441084788569813,0.0881853918353494,0.999992087440754
"44","chr1",92544701,92545101,401,"*",6.75478824286877,7.24430211621037,6.00824093855365,0.00378150928285181,0.0889976182489143,0.999992087440754
"45","chr12",94954184,94954584,401,"*",5.89565320705999,6.34507984055928,5.23935104511832,0.00419120606987589,0.0899518084738707,0.999992087440754
"46","chr3",124730303,124730703,401,"*",6.26754580124241,6.6930046745915,5.66151195877751,0.00447113705430492,0.0908034962458088,0.999992087440754
"47","chr22",38982317,38982717,401,"*",5.39415562241444,5.84673043090728,4.73105495881527,0.00407881982099109,0.0929169474160419,0.999992087440754
"48","chr3",107124980,107125380,401,"*",4.81901424275212,3.99543211899272,5.34002753296139,-0.00337857866087554,0.0942335628921068,0.999992087440754
"49","chr1",212035730,212036130,401,"*",6.34726253242408,6.76035694017235,5.76617838119487,0.00449223313671882,0.0961174222931125,0.999992087440754
"50","chrX",49155721,49156121,401,"*",5.68339368086517,6.10916295708229,5.0767251241854,0.00430877180778965,0.0969111249541793,0.999992087440754
"51","chr19",12920452,12920852,401,"*",5.69338079756053,6.13799470704053,5.04738184667508,0.00407866049418655,0.0971570133944673,0.999992087440754
"52","chr10",94299415,94299815,401,"*",5.84321421010516,6.27494603657577,5.2242720915458,0.00417931659905232,0.0989918840651965,0.999992087440754
"53","chr4",186203315,186203715,401,"*",5.98568826991585,6.39648569467672,5.4091687156808,0.00443271435913499,0.0994190981593143,0.999992087440754
"54","chr16",89695035,89695435,401,"*",4.97093028902468,5.43327671155117,4.28642501025952,0.00381663978201806,0.0995075636321744,0.999992087440754
