"","seqnames","start","end","width","strand","Conc","Conc_JQ1_FCPF_plus_sg_l","Conc_no_Treat","Fold","p.value","FDR"
"1","chr22",23521515,23521915,401,"*",5.95149983598593,5.12624558428782,6.4731710192007,-0.00944752236337986,0.0324710776059663,0.999992870221437
"2","chr19",14206786,14207186,401,"*",6.4648572166408,5.66046985912604,6.97824165237698,-0.00942658436069784,0.0340599959858135,0.999992870221437
"3","chr14",103522061,103522461,401,"*",5.84851554326801,5.01907971918627,6.37182731046804,-0.00900663599057898,0.0355052977801138,0.999992870221437
"4","chr13",50125236,50125636,401,"*",5.75994654182698,5.02403940364598,6.24491950717526,-0.00963534768446983,0.0384866837190216,0.999992870221437
"5","chr15",34366843,34367243,401,"*",5.77213262677237,5.08073212009269,6.23758223154681,-0.00908021260834528,0.0502251414808914,0.999992870221437
"6","chr20",4221921,4222321,401,"*",5.70531321468076,5.03566064504609,6.16090155948988,-0.00784033926709982,0.074734791300937,0.999992870221437
"7","chr19",55648075,55648475,401,"*",6.51483816728656,5.89041543621163,6.94920828604958,-0.00818675925805097,0.0763820237652761,0.999992870221437
"8","chr8",49131677,49132077,401,"*",5.42165336470582,4.76890519798569,5.86942558748976,-0.00774853128429773,0.0778557268524067,0.999992870221437
"9","chr22",24091786,24092186,401,"*",5.75723382797449,6.19453366356795,5.12668877345869,0.00792717603962455,0.080042209215987,0.999992870221437
"10","chr11",35943919,35944319,401,"*",5.70482874837519,5.12459958079062,6.11749374472813,-0.00836022814138681,0.0824599040867186,0.999992870221437
"11","chr4",54386163,54386563,401,"*",5.34976913707601,4.73808312034485,5.77798502966968,-0.00785966554541932,0.085480448322149,0.999992870221437
"12","chr17",732512,732912,401,"*",5.13721980315834,4.43540214207928,5.60731708334608,-0.00689815913281974,0.0874110658546735,0.999992870221437
"13","chr2",73984755,73985155,401,"*",6.54498339133224,5.80598573214449,7.03128022808997,-0.00635100363770145,0.0938759480406451,0.999992870221437
"14","chr4",992455,992855,401,"*",6.32121691226702,5.70697636992208,6.75067359229369,-0.00720838827960425,0.0986833519072106,0.999992870221437
