"","seqnames","start","end","width","strand","Conc","Conc_JQ1_FCPF_plus_sg_h","Conc_no_Treat","Fold","p.value","FDR"
"1","chr21",45164412,45164812,401,"*",6.67230685687971,7.56415162807739,3.88097601200025,3.09069996481012,6.11753932502502e-11,5.19317913301374e-07
"2","chr6",27115209,27115609,401,"*",6.91887796173511,7.74979422679064,4.74220510955601,2.48584525315697,1.82272799868854e-07,0.000773656899043351
"3","chr1",149855189,149855589,401,"*",5.02232353430913,5.90742493004852,2.31492229677698,2.62862904449163,9.5317112050721e-07,0.00215015829463159
"4","chr21",45155548,45155948,401,"*",5.3154163750338,6.15392475862221,3.07618849865093,2.41288758314891,1.10510777475508e-06,0.00215015829463159
"5","chr2",207314455,207314855,401,"*",5.54396302851444,6.35572922200213,3.51270058482428,2.28725043979043,1.26643791649875e-06,0.00215015829463159
"6","chr14",102073708,102074108,401,"*",6.7655675871134,7.56940386951886,4.78996066680629,2.20622996732159,2.15667960545604e-06,0.00305134219511939
"7","chr21",45156086,45156486,401,"*",6.48360792204684,7.23918356860476,4.80181435464319,1.97657831385218,3.2265566607487e-06,0.00391289135615653
"8","chr12",124864043,124864443,401,"*",5.82538091949279,4.02478188068668,6.60185943542069,-2.02833441357841,4.24168380186237e-06,0.00450095672425121
"9","chr6",27966668,27967068,401,"*",6.65723870241456,7.39146075099737,5.08591621084911,1.75510255999982,1.06770283033044e-05,0.0100708103629723
"10","chr5",132786312,132786712,401,"*",6.07342824274152,6.80075541682644,4.53571497988551,1.6155413966675,2.12044130566643e-05,0.0180004262438023
"11","chr4",141312437,141312837,401,"*",5.50158043097213,6.24345656222954,3.89181135959184,1.55289038409791,3.47054696864345e-05,0.0267831574698311
"12","chr20",49294216,49294616,401,"*",5.60891038474938,6.32912127567688,4.10492133142532,1.44498063671341,4.24908487083094e-05,0.0300587345570699
"13","chr21",45227454,45227854,401,"*",5.88737640439402,6.58679073232886,4.476773860313,1.3423212861669,5.20787347859329e-05,0.033707411259823
"14","chr15",34647815,34648215,401,"*",6.67589553617665,4.90850520604848,7.44673337721037,-1.4911461479754,5.55900291715776e-05,0.033707411259823
"15","chr19",3366691,3367091,401,"*",6.81999141687986,4.95543881228575,7.60691529669705,-1.43841707195476,7.11623058780433e-05,0.0398272378152184
"16","chr21",45158661,45159061,401,"*",5.25666084097665,6.00268447958466,3.62553488568498,1.33287277417762,8.1207324929438e-05,0.0398272378152184
"17","chr4",3495359,3495759,401,"*",5.45828125590062,6.17418356256324,3.9742553460561,1.27025089548618,8.13175225173656e-05,0.0398272378152184
"18","chr17",27177621,27178021,401,"*",5.78926325315773,6.476357290249,4.43067160359839,1.19285338336769,8.45550886049974e-05,0.0398272378152184
"19","chr7",26180636,26181036,401,"*",6.59640334499009,7.27778496925792,5.26115991783585,1.16685622993834,8.91409492860348e-05,0.0398272378152184
"20","chr5",132779839,132780239,401,"*",6.19547783597746,6.8692906725784,4.89046138319576,1.01635637762702,0.000154150678466466,0.0635867743011262
"21","chr12",132615530,132615930,401,"*",5.36371699878844,6.0691016855991,3.92705325271439,1.05042260171156,0.000167794325219827,0.0635867743011262
"22","chr1",75800314,75800714,401,"*",4.91123737592723,5.6831390380771,3.13765201222246,1.12973454394086,0.000168444541687457,0.0635867743011262
"23","chr3",193843168,193843568,401,"*",6.61902966362392,5.15336406641801,7.3309047244269,-1.05341443149588,0.000172281282710084,0.0635867743011262
"24","chr2",207331767,207332167,401,"*",5.23570373030571,5.95624267033748,3.73018087260316,1.01439276406674,0.000205791265589256,0.0717097473943927
"25","chr4",141300322,141300722,401,"*",5.23523828354636,5.95632303151346,3.72715908897396,0.998110060711203,0.000217859083918526,0.0717097473943927
"26","chr21",33403520,33403920,401,"*",6.2925397803791,4.90767429631557,6.98592619339812,-0.956466915755647,0.000220932415060885,0.0717097473943927
"27","chrX",66021865,66022265,401,"*",5.8351926223138,4.45207282020259,6.52816534630233,-0.947356031113474,0.000228079064630534,0.0717097473943927
"28","chr12",132616943,132617343,401,"*",5.06331175479745,5.80640909452567,3.44729340826988,0.984140641072843,0.000246465504716771,0.0747230596264524
"29","chr5",179607590,179607990,401,"*",6.14524111190995,6.79292120818284,4.93885588718337,0.840647932145275,0.000264677394343408,0.0774774620890065
"30","chr13",18933252,18933652,401,"*",5.05173176622887,5.79256117940346,3.44729340826988,0.939116400861995,0.000283383800011463,0.0781684445447283
"31","chr4",141291312,141291712,401,"*",5.04050863738502,5.78057736134704,3.4399295719972,0.930759459317225,0.000290365409933801,0.0781684445447283
"32","chr6",26165951,26166351,401,"*",6.01852775384208,6.65423758074004,4.85460698128982,0.790313091804518,0.000303670545469848,0.0781684445447283
"33","chr14",102067463,102067863,401,"*",5.50892320104742,6.19579638777166,4.15124301742165,0.864193041852541,0.000303870735066089,0.0781684445447283
"34","chr4",10173529,10173929,401,"*",6.97552006722959,5.40047117646797,7.71049473843858,-0.885530762217438,0.000333128761059138,0.0813235775741298
"35","chr17",16466058,16466458,401,"*",4.99429590126021,5.73804613930015,3.37492316752744,0.889279120496991,0.000335295702096188,0.0813235775741298
"36","chr14",101661921,101662321,401,"*",7.80413639125645,8.54111141069544,6.21912676324772,0.866733037191682,0.000356606434307657,0.0840897783566027
"37","chr7",74657926,74658326,401,"*",6.6636443038278,5.19484311533868,7.3762115753708,-0.771065090967458,0.000474229692907016,0.108803671975342
"38","chr17",45161224,45161624,401,"*",7.12838988749839,5.57895325689359,7.85814411072234,-0.746728275238478,0.000536812577353785,0.119921104451481
"39","chr21",41879475,41879875,401,"*",6.75562955622091,5.23608985858949,7.47914689152382,-0.726196173795782,0.000574253292888832,0.124995800085469
"40","chr11",65445535,65445935,401,"*",5.68205795324416,6.32893508410722,4.47857186608207,0.663061530336471,0.000597049658004397,0.125836256554683
"41","chr21",45166359,45166759,401,"*",5.68121445144485,6.31974622495411,4.50742632424977,0.643942384589889,0.000630829832000794,0.125836256554683
"42","chr6",26107803,26108203,401,"*",5.47584593900396,6.13337741726622,4.23327432345489,0.659238692717886,0.000636158971683797,0.125836256554683
"43","chr6",36616972,36617372,401,"*",6.03130276228444,6.64660961348171,4.9362414113048,0.619188917380803,0.000637408296837245,0.125836256554683
"44","chr17",75775330,75775730,401,"*",6.27988526486311,6.8892837393204,5.20399131103397,0.605235454768148,0.000665638095062172,0.128422767931427
"45","chr5",132783839,132784239,401,"*",5.69217689464376,6.31962129064898,4.5566667978007,0.612365390175515,0.000702683018190537,0.132557247587099
"46","chr21",45229656,45230056,401,"*",5.79915902969648,6.44317925124158,4.60592797170998,0.621127180025962,0.00072148648458969,0.133145625384389
"47","chr4",79210730,79211130,401,"*",6.23317231691974,4.97913639617684,6.89375994913188,-0.629001516902317,0.000740647866166214,0.133773611401808
"48","chr1",204394345,204394745,401,"*",5.76265825187752,6.38281230617642,4.65161988408305,0.587429804964722,0.000780364537102352,0.138010719905456
"49","chr2",219521578,219521978,401,"*",5.98956512078031,4.69672629671246,6.66027212973801,-0.615238209395574,0.000816223668410628,0.13889038292111
"50","chr6",26143848,26144248,401,"*",5.85897394857855,6.48532775689876,4.72715908897396,0.583723980430685,0.000818060919549478,0.13889038292111
"51","chr21",45087105,45087505,401,"*",5.79656463375567,6.41779979439516,4.68193114918817,0.574717508597068,0.000843418614592663,0.140387855279943
"52","chr6",26276738,26277138,401,"*",6.40242481985704,7.05895348600105,5.16358995489668,0.592840167644622,0.000875547755845893,0.142933171141842
"53","chr15",34106600,34107000,401,"*",5.37430817625296,6.03711130558488,4.11188876169365,0.580317384651432,0.00094905349026826,0.146246112226388
"54","chr4",141297798,141298198,401,"*",4.97977356246714,5.68245909721491,3.55496358897667,0.596681511223401,0.000949149620493161,0.146246112226388
"55","chr17",27057491,27057891,401,"*",5.53688228291399,6.17535771319296,4.36329201942167,0.563693719118554,0.000958215364023049,0.146246112226388
"56","chr19",14512719,14513119,401,"*",6.29981678851797,6.90829752347561,5.22687038444111,0.54225415457557,0.00096475230117537,0.146246112226388
"57","chr21",45178134,45178534,401,"*",5.32152373059518,5.99068387159773,4.0347021921103,0.57604877657215,0.000986429925826167,0.146908835795409
"58","chr2",107673043,107673443,401,"*",5.35312872860643,6.00143885992224,4.14446351913465,0.554857618248528,0.00103876159610257,0.152035296367496
"59","chr6",26262786,26263186,401,"*",6.3525239823002,6.95005853358624,5.31413681520074,0.519814127157153,0.00105848644935118,0.152296465568511
"60","chr4",141301870,141302270,401,"*",5.21596627371328,5.89661305086469,3.88369248770385,0.555604098324407,0.00111557735423525,0.157835602668384
"61","chr12",23722091,23722491,401,"*",5.83375159970924,4.54727721926737,6.50282224879743,-0.544856905214796,0.00115226188168972,0.15841623175283
"62","chr11",65446861,65447261,401,"*",5.89332008359476,6.51728877913074,4.76954420369156,0.521909241166532,0.00115700393081346,0.15841623175283
"63","chr21",45157640,45158040,401,"*",5.51344135181031,6.14460481101355,4.36523706768467,0.51818545168713,0.00121331372065398,0.162764735824754
"64","chr5",171418919,171419319,401,"*",6.32272691414789,6.92665388956419,5.26429023263564,0.50153349109788,0.00122711074246487,0.162764735824754
"65","chr11",836359,836759,401,"*",5.60104152301284,6.22462103993012,4.47857186608207,0.502641773797307,0.00130623256024529,0.170593972368034
"66","chr17",48577475,48577875,401,"*",6.52894971789336,5.11310998484471,7.2295745035708,-0.518917558847179,0.00137084754419806,0.176320072768141
"67","chr6",146857523,146857923,401,"*",6.6470099620242,5.53273820282907,7.2681365048051,-0.477989120736209,0.00151257451338192,0.19164544841939
"68","chr11",35943919,35944319,401,"*",5.3656286027931,4.11426286206456,6.02550716337973,-0.488778480139078,0.00154030951046736,0.192016749139507
"69","chr2",130181755,130182155,401,"*",6.35947680680212,5.25405826377128,6.97793385474581,-0.470888610895657,0.00157294317181646,0.192016749139507
"70","chr17",42288014,42288414,401,"*",7.08350210621146,5.62585720722023,7.79359813952592,-0.491250898339891,0.00158336346327783,0.192016749139507
"71","chr12",53486432,53486832,401,"*",5.67382989850821,6.2829068319305,4.59896955300513,0.45770919912899,0.00167967356091554,0.197576825942079
"72","chr19",10106250,10106650,401,"*",6.33400143702265,5.21507666963506,6.95652247430235,-0.462234928513761,0.00168287510077059,0.197576825942079
"73","chr4",141299069,141299469,401,"*",4.9583182767979,5.63909129151129,3.62553488568498,0.475947083621281,0.00169903502105922,0.197576825942079
"74","chr21",45201924,45202324,401,"*",5.22397766296317,5.86963205577889,4.02489207271836,0.465179499842205,0.00173327920007384,0.19883523147874
"75","chr2",42927370,42927770,401,"*",6.93212013243795,5.6401922157316,7.60259349434804,-0.462621310196697,0.00181743025734276,0.205708872727769
"76","chr21",14583335,14583735,401,"*",6.56988715318183,5.39988040271642,7.20734042981006,-0.450636580813694,0.00187262431481929,0.209167208006592
"77","chr6",27111592,27111992,401,"*",5.75362921369251,6.33732548223678,4.75742125572794,0.430382553528534,0.00190939677591777,0.210504795204753
"78","chr10",71637846,71638246,401,"*",7.02887460642246,5.64089236670769,7.7229980858481,-0.430128013224267,0.0022238727254682,0.242031481621789
"79","chr19",28615630,28616030,401,"*",5.36716364761608,4.1561653508897,6.01611717401977,-0.424433280558224,0.00225950137192574,0.242796292990856
"80","chr2",107670203,107670603,401,"*",4.87228234367823,5.54834383674369,3.55836799823083,0.419474228520109,0.00237183676027189,0.251681528224351
"81","chr3",9382694,9383094,401,"*",6.43152522439698,7.00233425774272,5.47317111230901,0.395189523499836,0.00247007605048384,0.258870069043918
"82","chr12",6383970,6384370,401,"*",6.34441477675468,5.06798650930399,7.01088391990409,-0.409919416432682,0.00251571071246483,0.260437417537975
"83","chr6",104957035,104957435,401,"*",6.78570230646568,5.50090101727804,7.45434127872351,-0.399260091108725,0.00270194357740198,0.276346976247776
"84","chr12",103809120,103809520,401,"*",6.48079285299422,7.05218041279843,5.52076770503636,0.383515669463728,0.00274032333903498,0.276935771727
"85","chr2",144517697,144518097,401,"*",6.02480307981123,4.85896200919043,6.66106403651137,-0.393170560393524,0.00277640777277847,0.277281477448429
"86","chr2",107671914,107672314,401,"*",5.24223005980899,5.85767189485142,4.14672689353764,0.385109739141495,0.00289369436706262,0.285581518302151
"87","chr2",207339018,207339418,401,"*",6.36983934531829,6.97265260709615,5.31492229677698,0.381879317423566,0.00292679845591791,0.285581518302151
"88","chr7",5426362,5426762,401,"*",6.79899117676368,5.51750664734305,7.46677252230751,-0.37884133528763,0.00310908294098966,0.299920512341605
"89","chr11",65448632,65449032,401,"*",6.39010514743305,6.96168004173988,5.42953833711832,0.36518331790586,0.00323572716382609,0.30863020105303
"90","chr1",35172396,35172796,401,"*",5.21418756077326,5.83169882313377,4.11188876169365,0.365066640221519,0.00340177476106514,0.319526134555897
"91","chr6",110904684,110905084,401,"*",5.24649255332503,5.88403075657374,4.07618849865093,0.364640428035213,0.00344492331369833,0.319526134555897
"92","chr11",65435043,65435443,401,"*",5.75891599048945,6.31968375915393,4.82915692530906,0.355201943863101,0.00349723698894551,0.319526134555897
"93","chr5",179838906,179839306,401,"*",6.03994585121944,6.6393415753423,4.99575904436471,0.360032213332441,0.00350052191232164,0.319526134555897
"94","chr2",202049819,202050219,401,"*",6.19706276839788,6.79265119502174,5.16470718163138,0.356025975825949,0.00361216816066377,0.325733488359012
"95","chr17",48543701,48544101,401,"*",6.73783567606944,5.5490900000525,7.38059814196215,-0.356796414265079,0.0036642750269044,0.325733488359012
"96","chr16",56948615,56949015,401,"*",4.90754187688885,5.56430981005248,3.66781655247306,0.355959583411538,0.00368363940186891,0.325733488359012
"97","chr2",70086438,70086838,401,"*",7.45133205614338,6.17466715208678,8.11786274059032,-0.354092007992958,0.003723297505206,0.325846108471069
"98","chr4",141304493,141304893,401,"*",5.87447737194931,6.70447728921778,3.70515288019548,0.294511046563515,0.00376196211160551,0.325870371075706
"99","chr20",34986559,34986959,401,"*",5.49956560173683,6.09087107114445,4.48036763381671,0.347927789722197,0.00386877648832534,0.331737814236302
"100","chrX",153971559,153971959,401,"*",6.00508538634645,4.83108542821402,6.64367746936228,-0.337472866115467,0.00428296452965184,0.363580858922145
"101","chr1",44631886,44632286,401,"*",6.49919574455568,5.38245350539713,7.12106341162487,-0.335166972965693,0.00437488840144596,0.367707204355196
"102","chr14",33566108,33566508,401,"*",5.36587921890551,5.98032238178548,4.27364062983786,0.333115298640551,0.0044531729257217,0.36912897264621
"103","chr11",65850898,65851298,401,"*",5.71908159482751,6.28322719647946,4.77978855068532,0.330560043587716,0.00447877066586872,0.36912897264621
"104","chr21",45083789,45084189,401,"*",5.61664338580717,6.1846875151491,4.66623970577696,0.328755374832956,0.00457018484732361,0.373041338162789
"105","chr9",127444973,127445373,401,"*",5.71462313249446,6.28143223802866,4.76775173976597,0.326393848333874,0.00468049532918156,0.376019882296768
"106","chr17",82099088,82099488,401,"*",6.41856645018234,5.3270096961781,7.03280065890727,-0.327167428071111,0.00469526534614883,0.376019882296768
"107","chr2",230775675,230776075,401,"*",6.1125731157566,6.66138185465239,5.21589679265959,0.323746836402702,0.00476615895622027,0.378130125040691
"108","chr6",27091699,27092099,401,"*",6.75173408470314,7.31074990709638,5.82688648327525,0.319609136673283,0.0050015730788196,0.393132906167589
"109","chr3",23805843,23806243,401,"*",6.16149442789055,5.15406489763165,6.74892496066914,-0.317587787582061,0.00513504489255534,0.393446369315069
"110","chr21",45199593,45199993,401,"*",5.17513641989848,5.77985102427111,4.11420378092829,0.31743313779848,0.00513852156195514,0.393446369315069
"111","chr7",151009032,151009432,401,"*",6.62572790630777,5.50001925285139,7.25027161794018,-0.316755183067787,0.00514460442855139,0.393446369315069
"112","chr2",10170827,10171227,401,"*",5.04805130620975,5.66961866255751,3.93231079222044,0.313670647741339,0.0052964027378001,0.397891863102086
"113","chr19",7795653,7796053,401,"*",5.43436863236516,6.02562461728604,4.41532175896827,0.31441749095396,0.0052964755013,0.397891863102086
"114","chr12",6943833,6944233,401,"*",7.71286410863121,8.33074283965936,6.60935423099798,0.31110078047608,0.00543171156744612,0.404471925403949
"115","chr14",68795727,68796127,401,"*",6.46615782394332,5.3836491611351,7.07760690925835,-0.307311083865236,0.00564468239068751,0.416675728822142
"116","chr1",144560085,144560485,401,"*",4.88353789151607,5.51619894427608,3.73018087260316,0.304116036154371,0.0057448186460702,0.417712903246025
"117","chr7",19377164,19377564,401,"*",5.58860755570788,4.63919141025417,6.1563068157564,-0.306348157933564,0.0057571456802668,0.417712903246025
"118","chr17",27060726,27061126,401,"*",5.26392733630029,5.85827409178038,4.23540266838443,0.301001306439902,0.00604342552410572,0.434768129441809
"119","chr6",26179745,26180145,401,"*",6.06613445716222,6.58653116288204,5.24411702163027,0.298867912888033,0.00628732699796446,0.448513604081683
"120","chr19",41264258,41264658,401,"*",7.18831734828402,6.02447530892108,7.82400455842626,-0.290658097033943,0.00649730487205858,0.459630175490878
"121","chr8",101760059,101760459,401,"*",4.96663595247617,5.57905763708735,3.88097601200025,0.28996557239005,0.0066782355654832,0.468525138143693
"122","chr3",67362678,67363078,401,"*",5.04903343977698,5.67010870878007,3.93493239446757,0.288338063584477,0.0067347429166494,0.468616660815056
"123","chr21",45088724,45089124,401,"*",5.69579416484094,6.25216116273592,4.77832951870051,0.290252019036421,0.00688251445574665,0.474090400123352
"124","chr1",150559053,150559453,401,"*",6.00490282969202,6.55671997526273,5.10000102633476,0.28984499034404,0.00692510420724415,0.474090400123352
"125","chr9",125234127,125234527,401,"*",4.94136785179944,5.56399342875679,3.82209347997618,0.282181301602751,0.0071552571865364,0.479782555613098
"126","chr6",30598726,30599126,401,"*",7.24691519866349,7.81546862077543,6.29505148706865,0.286154945718888,0.00715744628342394,0.479782555613098
"127","chr4",52722097,52722497,401,"*",6.09848094025991,6.60959110366832,5.29974734813331,0.288303261918256,0.00718884540879704,0.479782555613098
"128","chr6",32970473,32970873,401,"*",7.41254250679673,6.24411497656407,8.04954429285102,-0.279359902901618,0.00723432290240035,0.479782555613098
"129","chr1",148263541,148263941,401,"*",6.85939235167563,7.44300721378592,5.86342773085924,0.281685737236372,0.00743699786080484,0.488937855537095
"130","chr4",141314495,141314895,401,"*",5.40877695538687,5.99029148008226,4.4190717144373,0.28116153314744,0.00748756287193101,0.488937855537095
"131","chr1",116825941,116826341,401,"*",6.23798445820781,5.27438631791243,6.81060599624986,-0.280523341132309,0.0075987263153409,0.492409066342968
"132","chr6",26190800,26191200,401,"*",6.47458315397998,6.99056616534877,5.66369759619833,0.282822974709211,0.00768273876183383,0.494081585978844
"133","chr6",85670737,85671137,401,"*",6.209358828501,6.73958781830343,5.36210454715102,0.280402804541561,0.00783782870319583,0.500265623018266
"134","chrX",15947700,15948100,401,"*",6.19397947770204,6.71824514414064,5.36210454715102,0.27798426018566,0.00811121834200003,0.512136542308042
"135","chr7",99457168,99457568,401,"*",5.7235020572428,4.85706944645381,6.26104516925756,-0.276046155940849,0.00822450756156074,0.512136542308042
"136","chr6",26193151,26193551,401,"*",6.26118364724738,6.78572273088418,5.42860853401514,0.276547867353387,0.00825658423352399,0.512136542308042
"137","chr1",92544721,92545121,401,"*",6.85280022238427,7.39613592565675,5.9709255227574,0.275206153750398,0.0082651320881378,0.512136542308042
"138","chr3",112786193,112786593,401,"*",6.70576040454494,7.26419317899788,5.78254231908791,0.272908536377412,0.00838046801988084,0.514495453167669
"139","chr9",19223754,19224154,401,"*",5.82796535325953,6.35627744965088,4.98567957094934,0.27462518449567,0.00842865727364272,0.514495453167669
"140","chr6",7107178,7107578,401,"*",6.54068777574322,5.57905763708735,7.11263014812236,-0.270773942152658,0.00848502337654302,0.514495453167669
"141","chr3",155870963,155871363,401,"*",6.47419541842408,5.50034997767021,7.05033329304749,-0.269357693771034,0.0085865569395855,0.516959445816605
"142","chr8",102810270,102810670,401,"*",6.39919132421529,5.53252262287732,6.93682364156635,-0.270853067689857,0.00876157456442937,0.519878857870989
"143","chr7",153405771,153406171,401,"*",5.77694893534761,6.32049560367017,4.89450752863426,0.269890079109953,0.0088065423685301,0.519878857870989
"144","chr3",151136052,151136452,401,"*",5.69732735050826,6.21440486546686,4.88369248770385,0.271378649166721,0.00887915041335345,0.519878857870989
"145","chr4",141292334,141292734,401,"*",4.832148966207,5.45047621715796,3.72715908897396,0.261190756423313,0.00892963862946373,0.519878857870989
"146","chr1",145991583,145991983,401,"*",7.17361893215204,7.71857682536948,6.28737873364964,0.267770233592972,0.00902948880926295,0.519878857870989
"147","chr18",9914491,9914891,401,"*",7.2535265917841,6.02324836998005,7.90774650137602,-0.254530578743738,0.00904544879119801,0.519878857870989
"148","chr13",32175270,32175670,401,"*",5.47919045493899,6.01373687591234,4.62065808187006,0.268333057037715,0.00906373789196683,0.519878857870989
"149","chr6",2542804,2543204,401,"*",5.80667723769999,6.3200585133918,5.00229775753909,0.265601087422867,0.00960636293780171,0.545614573980982
"150","chr20",23060628,23061028,401,"*",6.00925799754742,6.53316926611517,5.1782899270203,0.263791098644921,0.009705957789424,0.545614573980982
"151","chr11",32435159,32435559,401,"*",5.93253603990178,5.00120518645861,6.49386276770926,-0.260126029089897,0.00972320829277672,0.545614573980982
"152","chr16",30609965,30610365,401,"*",6.63364080378788,5.63788932434363,7.21718434615536,-0.256867436702267,0.0098188942833581,0.545614573980982
"153","chr17",78263276,78263676,401,"*",7.24673615822186,6.2054687363505,7.84519625257506,-0.254274003933965,0.00990691488886634,0.545614573980982
"154","chr12",85469242,85469642,401,"*",5.58346114855958,6.11253320057069,4.73920843258467,0.261439432001844,0.00993994310120666,0.545614573980982
"155","chr21",45150779,45151179,401,"*",5.8250158838367,6.32862471141553,5.04471271401382,0.263780543177851,0.00996233466451316,0.545614573980982
"156","chr17",75785079,75785479,401,"*",6.82426234360462,5.75149881164286,7.43268605903778,-0.251021094454477,0.0101277020732603,0.551115787819913
"157","chr6",36196816,36197216,401,"*",6.5723680888499,5.63798952653131,7.13477629378958,-0.255285014412411,0.0102889047910566,0.552889120812433
"158","chr11",69401985,69402385,401,"*",6.74702989785663,5.68275053968189,7.35279779066011,-0.249534618939423,0.0103412173401773,0.552889120812433
